"id","n","data_q","fit_q","algo","rep","logZ","eps","iters","secs","status"
"n030_d4_f4_reg_r25",30,4,4,"RE-gaussian",25,-30.3727972428882,1,14,54.8959000110626,"ok"
"n030_d4_f4_reg_r26",30,4,4,"RE-gaussian",26,-30.310461703433,1,13,53.3494920730591,"ok"
"n030_d4_f4_reg_r27",30,4,4,"RE-gaussian",27,-30.4784053646691,1,13,53.5244238376617,"ok"
"n030_d4_f4_reg_r28",30,4,4,"RE-gaussian",28,-30.3777155633674,1,13,53.4421241283417,"ok"
"n030_d4_f4_reg_r29",30,4,4,"RE-gaussian",29,-30.569421111359,1,13,53.9009590148926,"ok"
"n030_d4_f4_reg_r30",30,4,4,"RE-gaussian",30,-30.4148883776799,1,13,54.0100090503693,"ok"
"n030_d4_f4_rpm_r01",30,4,4,"RE-pcnmala",1,-30.2051128143989,1,15,983.417689800263,"ok"
"n030_d4_f4_rpm_r02",30,4,4,"RE-pcnmala",2,-30.7096424619251,1,15,699.92319393158,"ok"
"n030_d4_f4_rpm_r03",30,4,4,"RE-pcnmala",3,-30.716228452668,1,14,637.061450004578,"ok"
"n030_d4_f4_rpm_r04",30,4,4,"RE-pcnmala",4,-30.4554720482172,1,14,696.365045785904,"ok"
"n030_d4_f4_rpm_r05",30,4,4,"RE-pcnmala",5,-31.0185014616598,1,14,608.646452188492,"ok"
"n030_d4_f4_rpm_r06",30,4,4,"RE-pcnmala",6,-30.92583161593,1,14,609.324286937714,"ok"
"n030_d4_f4_rpm_r07",30,4,4,"RE-pcnmala",7,-30.25925779297,1,14,704.355003118515,"ok"
"n030_d4_f4_rpm_r08",30,4,4,"RE-pcnmala",8,-30.7784341754603,1,15,617.092730998993,"ok"
"n030_d4_f4_rpm_r09",30,4,4,"RE-pcnmala",9,-30.6999272635157,1,14,631.361204862595,"ok"
"n030_d4_f4_rpm_r10",30,4,4,"RE-pcnmala",10,-30.8907972385712,1,14,595.038844823837,"ok"
"n030_d4_f4_rpm_r11",30,4,4,"RE-pcnmala",11,-30.5930011443038,1,14,643.561676025391,"ok"
"n030_d4_f4_rpm_r12",30,4,4,"RE-pcnmala",12,-31.0168077671367,1,14,639.038198947906,"ok"
"n030_d4_f4_rpm_r13",30,4,4,"RE-pcnmala",13,-30.6239057450777,1,14,641.918306827545,"ok"
"n030_d4_f4_rpm_r14",30,4,4,"RE-pcnmala",14,-30.914407105809,1,14,622.714372873306,"ok"
"n030_d4_f4_rpm_r15",30,4,4,"RE-pcnmala",15,-30.8730629225401,1,14,646.254570960999,"ok"
"n030_d4_f4_rpm_r16",30,4,4,"RE-pcnmala",16,-30.8037107134658,1,14,646.939038991928,"ok"
"n030_d4_f4_rpm_r17",30,4,4,"RE-pcnmala",17,-30.9931383387222,1,14,635.253747940063,"ok"
"n030_d4_f4_rpm_r18",30,4,4,"RE-pcnmala",18,-30.9269924544158,1,14,627.95679306984,"ok"
"n030_d4_f4_rpm_r19",30,4,4,"RE-pcnmala",19,-30.7314231262367,1,14,645.853618144989,"ok"
"n030_d4_f4_rpm_r20",30,4,4,"RE-pcnmala",20,-30.9679252293545,1,14,658.444361209869,"ok"
"n030_d4_f4_rpm_r21",30,4,4,"RE-pcnmala",21,-30.3938367923144,1,14,685.131313085556,"ok"
"n030_d4_f4_rpm_r22",30,4,4,"RE-pcnmala",22,-30.2825893724856,1,14,659.700037956238,"ok"
"n030_d4_f4_rpm_r23",30,4,4,"RE-pcnmala",23,-30.6447962391462,1,14,658.028387069702,"ok"
"n030_d4_f4_rpm_r24",30,4,4,"RE-pcnmala",24,-30.9229045297895,1,14,598.530687093735,"ok"
"n030_d4_f4_rpm_r25",30,4,4,"RE-pcnmala",25,-30.6430440448497,1,14,639.824934005737,"ok"
"n030_d4_f4_rpm_r26",30,4,4,"RE-pcnmala",26,-30.4286260196244,1,14,613.014781951904,"ok"
"n030_d4_f4_rpm_r27",30,4,4,"RE-pcnmala",27,-30.2909799243647,1,14,656.149888038635,"ok"
"n030_d4_f4_rpm_r28",30,4,4,"RE-pcnmala",28,-30.2408554125213,1,15,681.907560825348,"ok"
"n030_d4_f4_rpm_r29",30,4,4,"RE-pcnmala",29,-30.8253626969612,1,14,662.30640411377,"ok"
"n030_d4_f4_rpm_r30",30,4,4,"RE-pcnmala",30,-30.3345730426449,1,14,663.345001935959,"ok"
"n100_d2_f2_abc_r01",100,2,2,"ABC-SMC",1,-91.2001538423818,1,20,36.1998019218445,"ok"
"n100_d2_f2_abc_r02",100,2,2,"ABC-SMC",2,-87.1554369376511,1,19,31.6692678928375,"ok"
"n100_d2_f2_abc_r03",100,2,2,"ABC-SMC",3,-95.2471760983239,1,21,36.8905229568481,"ok"
"n100_d2_f2_abc_r04",100,2,2,"ABC-SMC",4,-95.9998261580732,1,20,31.6787359714508,"ok"
"n100_d2_f2_abc_r05",100,2,2,"ABC-SMC",5,-94.0828801145871,1,19,26.6132020950317,"ok"
"n100_d2_f2_abc_r06",100,2,2,"ABC-SMC",6,-86.9210512878683,1,20,29.7901990413666,"ok"
"n100_d2_f2_abc_r07",100,2,2,"ABC-SMC",7,-95.6594919777109,1,21,35.4095730781555,"ok"
"n100_d2_f2_abc_r08",100,2,2,"ABC-SMC",8,-93.0266074294994,1,19,28.7619571685791,"ok"
"n100_d2_f2_abc_r09",100,2,2,"ABC-SMC",9,-81.7028834266071,1,15,23.5180859565735,"ok"
"n100_d2_f2_abc_r10",100,2,2,"ABC-SMC",10,-92.7209558178089,1,16,23.7630121707916,"ok"
"n100_d2_f2_abc_r11",100,2,2,"ABC-SMC",11,-92.2412516999123,1,17,23.9165818691254,"ok"
"n100_d2_f2_abc_r12",100,2,2,"ABC-SMC",12,-91.5404138900766,1,17,28.1797158718109,"ok"
"n100_d2_f2_abc_r13",100,2,2,"ABC-SMC",13,-91.337040326158,1,16,23.9477310180664,"ok"
"n100_d2_f2_abc_r14",100,2,2,"ABC-SMC",14,-92.4542211418623,1,22,35.3235220909119,"ok"
"n100_d2_f2_abc_r15",100,2,2,"ABC-SMC",15,-97.085612624593,1,19,29.372585773468,"ok"
"n100_d2_f2_abc_r16",100,2,2,"ABC-SMC",16,-96.2412605857544,1,17,24.9469840526581,"ok"
"n100_d2_f2_abc_r17",100,2,2,"ABC-SMC",17,-94.4626362749332,1,18,29.0090918540955,"ok"
"n100_d2_f2_abc_r18",100,2,2,"ABC-SMC",18,-95.8567582491005,1,18,28.7018229961395,"ok"
"n100_d2_f2_abc_r19",100,2,2,"ABC-SMC",19,-90.2859242355696,1,15,22.9683899879456,"ok"
"n100_d2_f2_abc_r20",100,2,2,"ABC-SMC",20,-89.2493357993533,1,22,34.3917510509491,"ok"
"n100_d2_f2_abc_r21",100,2,2,"ABC-SMC",21,-97.752015494578,1,17,23.7687470912933,"ok"
"n100_d2_f2_abc_r22",100,2,2,"ABC-SMC",22,-96.1945313801363,1,19,29.0746781826019,"ok"
"n100_d2_f2_abc_r23",100,2,2,"ABC-SMC",23,-92.4407689929675,1,21,33.708594083786,"ok"
"n100_d2_f2_abc_r24",100,2,2,"ABC-SMC",24,-91.9358922516816,1,20,29.5962669849396,"ok"
"n100_d2_f2_abc_r25",100,2,2,"ABC-SMC",25,-87.9852852796295,1,20,29.4776268005371,"ok"
"n100_d2_f2_abc_r26",100,2,2,"ABC-SMC",26,-96.5868965646244,1,19,28.6492187976837,"ok"
"n100_d2_f2_abc_r27",100,2,2,"ABC-SMC",27,-95.148304692372,1,19,29.6046240329742,"ok"
"n100_d2_f2_abc_r28",100,2,2,"ABC-SMC",28,-91.9241853487968,1,20,34.0163259506226,"ok"
"n100_d2_f2_abc_r29",100,2,2,"ABC-SMC",29,-90.7483311568082,1,22,34.9865000247955,"ok"
"n100_d2_f2_abc_r30",100,2,2,"ABC-SMC",30,-91.0872970830265,1,22,35.1499280929565,"ok"
"n100_d2_f2_reg_r01",100,2,2,"RE-gaussian",1,-70.9539993848627,1,14,93.9128589630127,"ok"
"n100_d2_f2_reg_r02",100,2,2,"RE-gaussian",2,-70.7956978006889,1,14,90.7356839179993,"ok"
"n100_d2_f2_reg_r03",100,2,2,"RE-gaussian",3,-70.8306295613682,1,14,84.8866791725159,"ok"
"n100_d2_f2_reg_r04",100,2,2,"RE-gaussian",4,-70.643707115651,1,14,83.5616800785065,"ok"
"n100_d2_f2_reg_r05",100,2,2,"RE-gaussian",5,-70.5175975895393,1,14,97.4713840484619,"ok"
"n100_d2_f2_reg_r06",100,2,2,"RE-gaussian",6,-70.5945430747876,1,14,91.1725659370422,"ok"
"n100_d2_f2_reg_r07",100,2,2,"RE-gaussian",7,-70.8129535761533,1,14,90.0796740055084,"ok"
"n100_d2_f2_reg_r08",100,2,2,"RE-gaussian",8,-70.6237055124715,1,14,90.8125269412994,"ok"
"n100_d2_f2_reg_r09",100,2,2,"RE-gaussian",9,-70.3805543640124,1,14,96.3055899143219,"ok"
"n100_d2_f2_reg_r10",100,2,2,"RE-gaussian",10,-70.5231456571221,1,14,97.3616881370544,"ok"
"n100_d2_f2_reg_r11",100,2,2,"RE-gaussian",11,-70.6184860547883,1,14,97.8164100646973,"ok"
"n100_d2_f2_reg_r12",100,2,2,"RE-gaussian",12,-70.5035924461927,1,14,91.0299179553986,"ok"
"n100_d2_f2_reg_r13",100,2,2,"RE-gaussian",13,-70.8372354160762,1,14,88.5605039596558,"ok"
"n100_d2_f2_reg_r14",100,2,2,"RE-gaussian",14,-70.8358164799844,1,14,89.8327031135559,"ok"
"n100_d2_f2_reg_r15",100,2,2,"RE-gaussian",15,-70.8035020357161,1,14,89.8805940151215,"ok"
"n100_d2_f2_reg_r16",100,2,2,"RE-gaussian",16,-70.9469330559523,1,14,90.8162231445312,"ok"
"n100_d2_f2_reg_r17",100,2,2,"RE-gaussian",17,-70.7331211234423,1,14,89.3568398952484,"ok"
"n100_d2_f2_reg_r18",100,2,2,"RE-gaussian",18,-70.5078741387145,1,14,90.7665779590607,"ok"
"n100_d2_f2_reg_r19",100,2,2,"RE-gaussian",19,-70.5109219307956,1,14,91.3889989852905,"ok"
"n100_d2_f2_reg_r20",100,2,2,"RE-gaussian",20,-70.8050956489411,1,14,95.52556681633,"ok"
"n100_d2_f2_reg_r21",100,2,2,"RE-gaussian",21,-70.7588529582376,1,14,95.4705867767334,"ok"
"n100_d2_f2_reg_r22",100,2,2,"RE-gaussian",22,-70.4785178520455,1,14,94.1294848918915,"ok"
"n100_d2_f2_reg_r23",100,2,2,"RE-gaussian",23,-70.6074926361628,1,14,92.463681936264,"ok"
"n100_d2_f2_reg_r24",100,2,2,"RE-gaussian",24,-70.5449261674549,1,14,91.9980261325836,"ok"
"n100_d2_f2_reg_r25",100,2,2,"RE-gaussian",25,-70.8817297789112,1,14,101.921888113022,"ok"
"n100_d2_f2_reg_r26",100,2,2,"RE-gaussian",26,-70.7353253260101,1,14,102.620737075806,"ok"
"n100_d2_f2_reg_r27",100,2,2,"RE-gaussian",27,-71.4023639480532,1,14,107.7799949646,"ok"
"n100_d2_f2_reg_r28",100,2,2,"RE-gaussian",28,-70.5744595537432,1,14,108.313758134842,"ok"
"n100_d2_f2_reg_r29",100,2,2,"RE-gaussian",29,-70.7642338673506,1,14,109.398291110992,"ok"
"n100_d2_f2_reg_r30",100,2,2,"RE-gaussian",30,-70.8491687066003,1,14,110.046290874481,"ok"
"n100_d2_f2_rpm_r01",100,2,2,"RE-pcnmala",1,-71.3253463969255,1,15,614.318727016449,"ok"
"n100_d2_f2_rpm_r02",100,2,2,"RE-pcnmala",2,-71.7368946401757,1,15,622.440624952316,"ok"
"n100_d2_f2_rpm_r03",100,2,2,"RE-pcnmala",3,-71.2258823330231,1,16,597.969508171082,"ok"
"n100_d2_f2_rpm_r04",100,2,2,"RE-pcnmala",4,-71.6204828901641,1,15,656.089375019073,"ok"
"n100_d2_f2_rpm_r05",100,2,2,"RE-pcnmala",5,-71.5617233320276,1,15,692.924960136414,"ok"
"n100_d2_f2_rpm_r06",100,2,2,"RE-pcnmala",6,-71.900051961751,1,15,580.112393140793,"ok"
"n100_d2_f2_rpm_r07",100,2,2,"RE-pcnmala",7,-71.8087922831751,1,16,845.104228019714,"ok"
"n100_d2_f2_rpm_r08",100,2,2,"RE-pcnmala",8,-72.0771401642299,1,15,616.265073776245,"ok"
"n100_d2_f2_rpm_r09",100,2,2,"RE-pcnmala",9,-71.4008967520449,1,15,916.976970911026,"ok"
"n100_d2_f2_rpm_r10",100,2,2,"RE-pcnmala",10,-71.9681818030975,1,15,898.48563504219,"ok"
"n100_d2_f2_rpm_r11",100,2,2,"RE-pcnmala",11,-71.9088592057195,1,16,840.645723819733,"ok"
"n100_d2_f2_rpm_r12",100,2,2,"RE-pcnmala",12,-71.8239046491353,1,15,547.77631688118,"ok"
"n100_d2_f2_rpm_r13",100,2,2,"RE-pcnmala",13,-71.7345725683279,1,16,881.366762876511,"ok"
"n100_d2_f2_rpm_r14",100,2,2,"RE-pcnmala",14,-71.8048129545955,1,15,588.308449029922,"ok"
"n100_d2_f2_rpm_r15",100,2,2,"RE-pcnmala",15,-71.3300321264417,1,16,808.054479837418,"ok"
"n100_d2_f2_rpm_r16",100,2,2,"RE-pcnmala",16,-71.8692429596215,1,15,789.532538890839,"ok"
"n100_d2_f2_rpm_r17",100,2,2,"RE-pcnmala",17,-70.9996476502123,1,15,693.082112073898,"ok"
"n100_d2_f2_rpm_r18",100,2,2,"RE-pcnmala",18,-71.1063971440079,1,16,736.273438930511,"ok"
"n100_d2_f2_rpm_r19",100,2,2,"RE-pcnmala",19,-71.8319023781285,1,15,554.599809169769,"ok"
"n100_d2_f2_rpm_r20",100,2,2,"RE-pcnmala",20,-71.6736412311676,1,15,822.504048109055,"ok"
"n100_d2_f2_rpm_r21",100,2,2,"RE-pcnmala",21,-71.7003719245806,1,15,565.552513837814,"ok"
"n100_d2_f2_rpm_r22",100,2,2,"RE-pcnmala",22,-71.5808601732016,1,15,792.5100710392,"ok"
"n100_d2_f2_rpm_r23",100,2,2,"RE-pcnmala",23,-71.2810320436097,1,15,774.677865028381,"ok"
"n100_d2_f2_rpm_r24",100,2,2,"RE-pcnmala",24,-71.7449971255874,1,15,544.670789003372,"ok"
"n100_d2_f2_rpm_r25",100,2,2,"RE-pcnmala",25,-71.57998676163,1,16,680.784527778625,"ok"
"n100_d2_f2_rpm_r26",100,2,2,"RE-pcnmala",26,-71.0130542472529,1,15,764.56941986084,"ok"
"n100_d2_f2_rpm_r27",100,2,2,"RE-pcnmala",27,-71.5732797058497,1,16,936.004870176315,"ok"
"n100_d2_f2_rpm_r28",100,2,2,"RE-pcnmala",28,-71.2258528476502,1,16,816.746382951736,"ok"
"n100_d2_f2_rpm_r29",100,2,2,"RE-pcnmala",29,-71.8043346554751,1,15,589.622044801712,"ok"
"n100_d2_f2_rpm_r30",100,2,2,"RE-pcnmala",30,-71.6391652429517,1,16,880.927395105362,"ok"
"n100_d2_f3_abc_r01",100,2,3,"ABC-SMC",1,-97.3339970018327,1,21,35.1287071704865,"ok"
"n100_d2_f3_abc_r02",100,2,3,"ABC-SMC",2,-87.7019196094481,1,19,30.1894910335541,"ok"
"n100_d2_f3_abc_r03",100,2,3,"ABC-SMC",3,-92.9486293440817,1,24,44.7867710590363,"ok"
"n100_d2_f3_abc_r04",100,2,3,"ABC-SMC",4,-98.8209277919915,1,21,38.4807641506195,"ok"
"n100_d2_f3_abc_r05",100,2,3,"ABC-SMC",5,-97.0671541515757,1,19,36.4149091243744,"ok"
"n100_d2_f3_abc_r06",100,2,3,"ABC-SMC",6,-90.7262159423098,1,21,41.2061879634857,"ok"
"n100_d2_f3_abc_r07",100,2,3,"ABC-SMC",7,-95.5295220106928,1,21,43.9413211345673,"ok"
"n100_d2_f3_abc_r08",100,2,3,"ABC-SMC",8,-96.9132712730938,1,20,46.9503710269928,"ok"
"n100_d2_f3_abc_r09",100,2,3,"ABC-SMC",9,-95.3850256951143,1,18,35.3922739028931,"ok"
"n100_d2_f3_abc_r10",100,2,3,"ABC-SMC",10,-93.3556126124491,1,17,32.6667749881744,"ok"
"n100_d2_f3_abc_r11",100,2,3,"ABC-SMC",11,-96.3563061761368,1,17,39.2059218883514,"ok"
"n100_d2_f3_abc_r12",100,2,3,"ABC-SMC",12,-97.4173135014045,1,23,55.1273159980774,"ok"
"n100_d2_f3_abc_r13",100,2,3,"ABC-SMC",13,-94.5926543985079,1,20,49.2650198936462,"ok"
"n100_d2_f3_abc_r14",100,2,3,"ABC-SMC",14,-94.1099996306177,1,21,50.7459161281586,"ok"
"n100_d2_f3_abc_r15",100,2,3,"ABC-SMC",15,-94.3065706307806,1,19,40.3368082046509,"ok"
"n100_d2_f3_abc_r16",100,2,3,"ABC-SMC",16,-87.4933861859423,1,14,26.1115899085999,"ok"
"n100_d2_f3_abc_r17",100,2,3,"ABC-SMC",17,-94.1729292752512,1,18,38.3883159160614,"ok"
"n100_d2_f3_abc_r18",100,2,3,"ABC-SMC",18,-95.850598044192,1,22,45.5871779918671,"ok"
"n100_d2_f3_abc_r19",100,2,3,"ABC-SMC",19,-94.5450482047583,1,21,45.2038598060608,"ok"
"n100_d2_f3_abc_r20",100,2,3,"ABC-SMC",20,-97.3416108340419,1,21,45.6716210842133,"ok"
"n100_d2_f3_abc_r21",100,2,3,"ABC-SMC",21,-95.0553092886124,1,18,37.5076370239258,"ok"
"n100_d2_f3_abc_r22",100,2,3,"ABC-SMC",22,-91.9976560094884,1,19,39.0203890800476,"ok"
"n100_d2_f3_abc_r23",100,2,3,"ABC-SMC",23,-91.649538402496,1,19,41.1317930221558,"ok"
"n100_d2_f3_abc_r24",100,2,3,"ABC-SMC",24,-94.3113764805886,1,20,39.8188300132751,"ok"
"n100_d2_f3_abc_r25",100,2,3,"ABC-SMC",25,-96.0137719433472,1,17,39.0196628570557,"ok"
"n100_d2_f3_abc_r26",100,2,3,"ABC-SMC",26,-98.3407952408384,1,19,41.4708881378174,"ok"
"n100_d2_f3_abc_r27",100,2,3,"ABC-SMC",27,-94.536942559633,1,20,51.3065931797028,"ok"
"n100_d2_f3_abc_r28",100,2,3,"ABC-SMC",28,-95.06820768928,1,22,50.704980134964,"ok"
"n100_d2_f3_abc_r29",100,2,3,"ABC-SMC",29,-97.9939818701306,1,18,40.5855770111084,"ok"
"n100_d2_f3_abc_r30",100,2,3,"ABC-SMC",30,-95.0650493560724,1,19,37.5388569831848,"ok"
"n100_d2_f3_reg_r01",100,2,3,"RE-gaussian",1,-71.9341859768533,1,15,97.9049220085144,"ok"
"n100_d2_f3_reg_r02",100,2,3,"RE-gaussian",2,-71.5467632349014,1,16,98.0437610149384,"ok"
"n100_d2_f3_reg_r03",100,2,3,"RE-gaussian",3,-71.6025622384459,1,15,97.501177072525,"ok"
"n100_d2_f3_reg_r04",100,2,3,"RE-gaussian",4,-71.7342446609157,1,15,94.0537629127502,"ok"
"n100_d2_f3_reg_r05",100,2,3,"RE-gaussian",5,-71.5060189320466,1,15,97.4443559646606,"ok"
"n100_d2_f3_reg_r06",100,2,3,"RE-gaussian",6,-71.0794586065443,1,15,133.363895177841,"ok"
"n100_d2_f3_reg_r07",100,2,3,"RE-gaussian",7,-71.7579758713032,1,15,132.729818105698,"ok"
"n100_d2_f3_reg_r08",100,2,3,"RE-gaussian",8,-71.4569238100223,1,15,134.221592187881,"ok"
"n100_d2_f3_reg_r09",100,2,3,"RE-gaussian",9,-71.267766142693,1,14,128.32678604126,"ok"
"n100_d2_f3_reg_r10",100,2,3,"RE-gaussian",10,-71.2171013079983,1,14,113.178507089615,"ok"
"n100_d2_f3_reg_r11",100,2,3,"RE-gaussian",11,-72.061424074134,1,16,149.398114919662,"ok"
"n100_d2_f3_reg_r12",100,2,3,"RE-gaussian",12,-71.9149347344638,1,16,144.343809843063,"ok"
"n100_d2_f3_reg_r13",100,2,3,"RE-gaussian",13,-71.4569186392041,1,15,117.043357133865,"ok"
"n100_d2_f3_reg_r14",100,2,3,"RE-gaussian",14,-71.6769087642439,1,15,115.857539176941,"ok"
"n100_d2_f3_reg_r15",100,2,3,"RE-gaussian",15,-71.8869487006596,1,15,123.383885145187,"ok"
"n100_d2_f3_reg_r16",100,2,3,"RE-gaussian",16,-71.337122895435,1,15,122.351834058762,"ok"
"n100_d2_f3_reg_r17",100,2,3,"RE-gaussian",17,-72.0073444704041,1,15,124.846297979355,"ok"
"n100_d2_f3_reg_r18",100,2,3,"RE-gaussian",18,-71.2679612599311,1,15,124.569239139557,"ok"
"n100_d2_f3_reg_r19",100,2,3,"RE-gaussian",19,-71.335685670007,1,15,122.06524515152,"ok"
"n100_d2_f3_reg_r20",100,2,3,"RE-gaussian",20,-71.6232976219526,1,15,124.444959163666,"ok"
"n100_d2_f3_reg_r21",100,2,3,"RE-gaussian",21,-71.3187872982593,1,15,132.090202093124,"ok"
"n100_d2_f3_reg_r22",100,2,3,"RE-gaussian",22,-71.6298190946355,1,15,137.425217151642,"ok"
"n100_d2_f3_reg_r23",100,2,3,"RE-gaussian",23,-71.5025025504881,1,15,146.989533901215,"ok"
"n100_d2_f3_reg_r24",100,2,3,"RE-gaussian",24,-71.5522659195611,1,15,145.802495002747,"ok"
"n100_d2_f3_reg_r25",100,2,3,"RE-gaussian",25,-71.1460873916487,1,15,151.416064023972,"ok"
"n100_d2_f3_reg_r26",100,2,3,"RE-gaussian",26,-71.5485601251308,1,15,152.765033960342,"ok"
"n100_d2_f3_reg_r27",100,2,3,"RE-gaussian",27,-71.4398259500541,1,15,152.644455909729,"ok"
"n100_d2_f3_reg_r28",100,2,3,"RE-gaussian",28,-71.6408080412714,1,15,145.574702978134,"ok"
"n100_d2_f3_reg_r29",100,2,3,"RE-gaussian",29,-71.5931360894474,1,15,145.256698131561,"ok"
"n100_d2_f3_reg_r30",100,2,3,"RE-gaussian",30,-71.4968751665542,1,15,142.825020074844,"ok"
"n100_d2_f3_rpm_r01",100,2,3,"RE-pcnmala",1,-72.8144027833344,1,16,761.547445058823,"ok"
"n100_d2_f3_rpm_r02",100,2,3,"RE-pcnmala",2,-72.1115087294756,1,17,769.796249866486,"ok"
"n100_d2_f3_rpm_r03",100,2,3,"RE-pcnmala",3,-72.6411300681463,1,16,725.666546106339,"ok"
"n100_d2_f3_rpm_r04",100,2,3,"RE-pcnmala",4,-72.5694069156971,1,16,801.611222982407,"ok"
"n100_d2_f3_rpm_r05",100,2,3,"RE-pcnmala",5,-72.4368618259244,1,16,783.718449115753,"ok"
"n100_d2_f3_rpm_r06",100,2,3,"RE-pcnmala",6,-71.9912355659793,1,16,935.296516180038,"ok"
"n100_d2_f3_rpm_r07",100,2,3,"RE-pcnmala",7,-72.3020022973873,1,17,937.887459993362,"ok"
"n100_d2_f3_rpm_r08",100,2,3,"RE-pcnmala",8,-72.8961749926268,1,16,888.60005903244,"ok"
"n100_d2_f3_rpm_r09",100,2,3,"RE-pcnmala",9,-72.099871194888,1,16,893.50922703743,"ok"
"n100_d2_f3_rpm_r10",100,2,3,"RE-pcnmala",10,-72.3777635318048,1,15,997.337286949158,"ok"
"n100_d2_f3_rpm_r11",100,2,3,"RE-pcnmala",11,-72.6942935301988,1,17,913.566555023193,"ok"
"n100_d2_f3_rpm_r12",100,2,3,"RE-pcnmala",12,-72.8517159504693,1,16,894.016403913498,"ok"
"n100_d2_f3_rpm_r13",100,2,3,"RE-pcnmala",13,-72.011242797135,1,18,1023.35710287094,"ok"
"n100_d2_f3_rpm_r14",100,2,3,"RE-pcnmala",14,-72.311446136296,1,16,1043.27875590324,"ok"
"n100_d2_f3_rpm_r15",100,2,3,"RE-pcnmala",15,-72.7689074923515,1,16,1085.69409394264,"ok"
"n100_d2_f3_rpm_r16",100,2,3,"RE-pcnmala",16,-72.2952349736321,1,16,1063.83511805534,"ok"
"n100_d2_f3_rpm_r17",100,2,3,"RE-pcnmala",17,-72.7700035102862,1,17,1005.50232100487,"ok"
"n100_d2_f3_rpm_r18",100,2,3,"RE-pcnmala",18,-72.6264057289163,1,16,1030.49480700493,"ok"
"n100_d2_f3_rpm_r19",100,2,3,"RE-pcnmala",19,-72.7011517786728,1,15,752.273600101471,"ok"
"n100_d2_f3_rpm_r20",100,2,3,"RE-pcnmala",20,-72.5633202325543,1,16,1205.46416783333,"ok"
"n100_d2_f3_rpm_r21",100,2,3,"RE-pcnmala",21,-72.0780466132784,1,17,1230.18951201439,"ok"
"n100_d2_f3_rpm_r22",100,2,3,"RE-pcnmala",22,-72.4462952528158,1,16,1097.9888792038,"ok"
"n100_d2_f3_rpm_r23",100,2,3,"RE-pcnmala",23,-71.6205705576117,1,17,1124.42715001106,"ok"
"n100_d2_f3_rpm_r24",100,2,3,"RE-pcnmala",24,-72.4224297951436,1,16,1318.21870994568,"ok"
"n100_d2_f3_rpm_r25",100,2,3,"RE-pcnmala",25,-72.6332617201343,1,16,1285.45732998848,"ok"
"n100_d2_f3_rpm_r26",100,2,3,"RE-pcnmala",26,-73.0231240304202,1,16,1217.40117383003,"ok"
"n100_d2_f3_rpm_r27",100,2,3,"RE-pcnmala",27,-72.5371022290951,1,16,1160.5735180378,"ok"
"n100_d2_f3_rpm_r28",100,2,3,"RE-pcnmala",28,-72.5615312355876,1,17,1113.17038583755,"ok"
"n100_d2_f3_rpm_r29",100,2,3,"RE-pcnmala",29,-71.9881602858234,1,16,1011.67195510864,"ok"
"n100_d2_f3_rpm_r30",100,2,3,"RE-pcnmala",30,-72.0789898007994,1,16,932.682796001434,"ok"
"n100_d2_f4_abc_r01",100,2,4,"ABC-SMC",1,-94.8205933406085,1,24,41.623095035553,"ok"
"n100_d2_f4_abc_r02",100,2,4,"ABC-SMC",2,-88.0774304352163,1,22,37.6583371162415,"ok"
"n100_d2_f4_abc_r03",100,2,4,"ABC-SMC",3,-100.005850244488,1,20,32.6083190441132,"ok"
"n100_d2_f4_abc_r04",100,2,4,"ABC-SMC",4,-92.4666793702479,1,22,37.711877822876,"ok"
"n100_d2_f4_abc_r05",100,2,4,"ABC-SMC",5,-86.9251695959273,1,22,37.2427220344543,"ok"
"n100_d2_f4_abc_r06",100,2,4,"ABC-SMC",6,-94.2608865804012,1,26,70.2198071479797,"ok"
"n100_d2_f4_abc_r07",100,2,4,"ABC-SMC",7,-93.6090904056197,1,20,60.1210458278656,"ok"
"n100_d2_f4_abc_r08",100,2,4,"ABC-SMC",8,-93.8857291528083,1,18,49.3012509346008,"ok"
"n100_d2_f4_abc_r09",100,2,4,"ABC-SMC",9,-90.6637269382312,1,15,42.9944930076599,"ok"
"n100_d2_f4_abc_r10",100,2,4,"ABC-SMC",10,-101.300055440326,1,22,63.0071880817413,"ok"
"n100_d2_f4_abc_r11",100,2,4,"ABC-SMC",11,-97.0261538142854,1,20,60.1748309135437,"ok"
"n100_d2_f4_abc_r12",100,2,4,"ABC-SMC",12,-97.5239717598088,1,21,61.098170042038,"ok"
"n100_d2_f4_abc_r13",100,2,4,"ABC-SMC",13,-98.231736314604,1,20,50.5170469284058,"ok"
"n100_d2_f4_abc_r14",100,2,4,"ABC-SMC",14,-98.5999107387826,1,20,54.4561250209808,"ok"
"n100_d2_f4_abc_r15",100,2,4,"ABC-SMC",15,-92.0412758050634,1,22,54.1647610664368,"ok"
"n100_d2_f4_abc_r16",100,2,4,"ABC-SMC",16,-90.2468718786885,1,20,48.7571861743927,"ok"
"n100_d2_f4_abc_r17",100,2,4,"ABC-SMC",17,-88.0680033488712,1,17,42.0997259616852,"ok"
"n100_d2_f4_abc_r18",100,2,4,"ABC-SMC",18,-99.6794655719244,1,20,61.069571018219,"ok"
"n100_d2_f4_abc_r19",100,2,4,"ABC-SMC",19,-94.9590125942685,1,23,62.367742061615,"ok"
"n100_d2_f4_abc_r20",100,2,4,"ABC-SMC",20,-100.603795651312,1,22,60.5197880268097,"ok"
