"id","n","data_q","fit_q","algo","rep","logZ","eps","iters","secs","status"
"n030_d2_f2_reg_r17",30,2,2,"RE-gaussian",17,-19.6948336895315,1,6,17.1309590339661,"ok"
"n030_d2_f2_reg_r18",30,2,2,"RE-gaussian",18,-19.7433327145223,1,7,25.6644220352173,"ok"
"n030_d2_f2_reg_r19",30,2,2,"RE-gaussian",19,-19.6602401446525,1,7,25.8234398365021,"ok"
"n030_d2_f2_reg_r20",30,2,2,"RE-gaussian",20,-19.7038775589222,1,6,23.3229219913483,"ok"
"n030_d2_f2_reg_r21",30,2,2,"RE-gaussian",21,-19.5829524111108,1,7,22.7714469432831,"ok"
"n030_d2_f2_reg_r22",30,2,2,"RE-gaussian",22,-19.6952091425883,1,7,25.5221040248871,"ok"
"n030_d2_f2_reg_r23",30,2,2,"RE-gaussian",23,-19.7322299193732,1,7,24.9761900901794,"ok"
"n030_d2_f2_reg_r24",30,2,2,"RE-gaussian",24,-19.7294803615102,1,6,22.1606950759888,"ok"
"n030_d2_f2_reg_r25",30,2,2,"RE-gaussian",25,-19.6827071530964,1,7,23.0511939525604,"ok"
"n030_d2_f2_reg_r26",30,2,2,"RE-gaussian",26,-19.6725963157934,1,7,22.5766661167145,"ok"
"n030_d2_f2_reg_r27",30,2,2,"RE-gaussian",27,-19.694671589466,1,7,22.3932030200958,"ok"
"n030_d2_f2_reg_r28",30,2,2,"RE-gaussian",28,-19.7307012807046,1,7,21.6814858913422,"ok"
"n030_d2_f2_reg_r29",30,2,2,"RE-gaussian",29,-19.806433044872,1,6,19.7691161632538,"ok"
"n030_d2_f2_reg_r30",30,2,2,"RE-gaussian",30,-19.6427640687087,1,7,21.3191318511963,"ok"
"n030_d2_f2_rpm_r01",30,2,2,"RE-pcnmala",1,-19.860630606917,1,7,138.73145198822,"ok"
"n030_d2_f2_rpm_r02",30,2,2,"RE-pcnmala",2,-19.9150088927862,1,7,137.514525175095,"ok"
"n030_d2_f2_rpm_r03",30,2,2,"RE-pcnmala",3,-19.9406362374833,1,7,146.040229797363,"ok"
"n030_d2_f2_rpm_r04",30,2,2,"RE-pcnmala",4,-19.9401902699505,1,7,143.079489946365,"ok"
"n030_d2_f2_rpm_r05",30,2,2,"RE-pcnmala",5,-19.8873906926657,1,7,137.514737844467,"ok"
"n030_d2_f2_rpm_r06",30,2,2,"RE-pcnmala",6,-19.8076377350028,1,7,126.135596036911,"ok"
"n030_d2_f2_rpm_r07",30,2,2,"RE-pcnmala",7,-19.7792767772814,1,7,127.962963104248,"ok"
"n030_d2_f2_rpm_r08",30,2,2,"RE-pcnmala",8,-19.9238078259964,1,7,133.367041110992,"ok"
"n030_d2_f2_rpm_r09",30,2,2,"RE-pcnmala",9,-20.0144375696352,1,7,130.93915104866,"ok"
"n030_d2_f2_rpm_r10",30,2,2,"RE-pcnmala",10,-19.8648984596722,1,7,127.859753847122,"ok"
"n030_d2_f2_rpm_r11",30,2,2,"RE-pcnmala",11,-19.6803900847143,1,7,224.039503097534,"ok"
"n030_d2_f2_rpm_r12",30,2,2,"RE-pcnmala",12,-19.9066319579926,1,7,124.146332979202,"ok"
"n030_d2_f2_rpm_r13",30,2,2,"RE-pcnmala",13,-19.8182648330245,1,7,131.07239317894,"ok"
"n030_d2_f2_rpm_r14",30,2,2,"RE-pcnmala",14,-19.8384782566193,1,7,131.84531211853,"ok"
"n030_d2_f2_rpm_r15",30,2,2,"RE-pcnmala",15,-19.8218069115756,1,7,127.663412094116,"ok"
"n030_d2_f2_rpm_r16",30,2,2,"RE-pcnmala",16,-19.8584428441758,1,7,246.294363975525,"ok"
"n030_d2_f2_rpm_r17",30,2,2,"RE-pcnmala",17,-19.8753653756138,1,7,128.959258079529,"ok"
"n030_d2_f2_rpm_r18",30,2,2,"RE-pcnmala",18,-19.9703912541028,1,7,133.053093910217,"ok"
"n030_d2_f2_rpm_r19",30,2,2,"RE-pcnmala",19,-19.8077333413024,1,7,132.214864969254,"ok"
"n030_d2_f2_rpm_r20",30,2,2,"RE-pcnmala",20,-19.9016837893825,1,7,138.990177869797,"ok"
"n030_d2_f2_rpm_r21",30,2,2,"RE-pcnmala",21,-19.8411171262184,1,7,136.533239126205,"ok"
"n030_d2_f2_rpm_r22",30,2,2,"RE-pcnmala",22,-19.9323739259468,1,7,126.026566982269,"ok"
"n030_d2_f2_rpm_r23",30,2,2,"RE-pcnmala",23,-19.7579373724666,1,7,126.194188117981,"ok"
"n030_d2_f2_rpm_r24",30,2,2,"RE-pcnmala",24,-19.9533563314301,1,7,132.183306932449,"ok"
"n030_d2_f2_rpm_r25",30,2,2,"RE-pcnmala",25,-19.9925237640023,1,7,144.370110034943,"ok"
"n030_d2_f2_rpm_r26",30,2,2,"RE-pcnmala",26,-19.7286242459812,1,8,259.364137887955,"ok"
"n030_d2_f2_rpm_r27",30,2,2,"RE-pcnmala",27,-19.9072117591156,1,7,150.120522022247,"ok"
"n030_d2_f2_rpm_r28",30,2,2,"RE-pcnmala",28,-19.9351451782155,1,7,142.666207075119,"ok"
"n030_d2_f2_rpm_r29",30,2,2,"RE-pcnmala",29,-19.9519527454911,1,7,139.079562902451,"ok"
"n030_d2_f2_rpm_r30",30,2,2,"RE-pcnmala",30,-19.6772310834832,1,8,291.981626033783,"ok"
"n030_d3_f3_abc_r01",30,3,3,"ABC-SMC",1,-23.1485886008098,1,12,16.1777820587158,"ok"
"n030_d3_f3_abc_r02",30,3,3,"ABC-SMC",2,-22.0485202435004,1,12,16.1981110572815,"ok"
"n030_d3_f3_abc_r03",30,3,3,"ABC-SMC",3,-22.2743979935302,1,13,16.804053068161,"ok"
"n030_d3_f3_abc_r04",30,3,3,"ABC-SMC",4,-22.9050577057064,1,12,16.2039949893951,"ok"
"n030_d3_f3_abc_r05",30,3,3,"ABC-SMC",5,-21.6181065717416,1,13,17.4411239624023,"ok"
"n030_d3_f3_abc_r06",30,3,3,"ABC-SMC",6,-22.6193892479168,1,12,17.6602530479431,"ok"
"n030_d3_f3_abc_r07",30,3,3,"ABC-SMC",7,-22.1227836155927,1,13,22.2887420654297,"ok"
"n030_d3_f3_abc_r08",30,3,3,"ABC-SMC",8,-23.1698533007659,1,11,19.8021581172943,"ok"
"n030_d3_f3_abc_r09",30,3,3,"ABC-SMC",9,-22.3580209004562,1,12,18.6064009666443,"ok"
"n030_d3_f3_abc_r10",30,3,3,"ABC-SMC",10,-23.809490270085,1,11,17.4695630073547,"ok"
"n030_d3_f3_abc_r11",30,3,3,"ABC-SMC",11,-22.2760411697796,1,13,20.1970779895782,"ok"
"n030_d3_f3_abc_r12",30,3,3,"ABC-SMC",12,-22.7647017011311,1,12,20.1968538761139,"ok"
"n030_d3_f3_abc_r13",30,3,3,"ABC-SMC",13,-21.996491212683,1,13,19.402783870697,"ok"
"n030_d3_f3_abc_r14",30,3,3,"ABC-SMC",14,-23.5678590043774,1,12,18.8159558773041,"ok"
"n030_d3_f3_abc_r15",30,3,3,"ABC-SMC",15,-22.9768819658621,1,12,18.9505989551544,"ok"
"n030_d3_f3_abc_r16",30,3,3,"ABC-SMC",16,-22.7089830992742,1,12,19.266361951828,"ok"
"n030_d3_f3_abc_r17",30,3,3,"ABC-SMC",17,-21.3473822914338,1,13,19.5990991592407,"ok"
"n030_d3_f3_abc_r18",30,3,3,"ABC-SMC",18,-21.8640976426685,1,12,19.8792200088501,"ok"
"n030_d3_f3_abc_r19",30,3,3,"ABC-SMC",19,-22.2163347233654,1,13,20.0321381092072,"ok"
"n030_d3_f3_abc_r20",30,3,3,"ABC-SMC",20,-23.0079734978926,1,12,19.7056148052216,"ok"
"n030_d3_f3_abc_r21",30,3,3,"ABC-SMC",21,-19.991644220011,1,13,19.6633608341217,"ok"
"n030_d3_f3_abc_r22",30,3,3,"ABC-SMC",22,-22.8032036790996,1,12,18.5561618804932,"ok"
"n030_d3_f3_abc_r23",30,3,3,"ABC-SMC",23,-22.9705578556185,1,12,18.7696709632874,"ok"
"n030_d3_f3_abc_r24",30,3,3,"ABC-SMC",24,-22.5886736015926,1,12,18.8600120544434,"ok"
"n030_d3_f3_abc_r25",30,3,3,"ABC-SMC",25,-22.4748888651587,1,13,18.3329770565033,"ok"
"n030_d3_f3_abc_r26",30,3,3,"ABC-SMC",26,-22.4535693037494,1,12,18.0528528690338,"ok"
"n030_d3_f3_abc_r27",30,3,3,"ABC-SMC",27,-21.8840612954337,1,13,17.954610824585,"ok"
"n030_d3_f3_abc_r28",30,3,3,"ABC-SMC",28,-22.2792612248212,1,12,17.5145649909973,"ok"
"n030_d3_f3_abc_r29",30,3,3,"ABC-SMC",29,-23.0928016353812,1,12,18.4654359817505,"ok"
"n030_d3_f3_abc_r30",30,3,3,"ABC-SMC",30,-21.2254751469998,1,13,18.4577949047089,"ok"
"n030_d3_f3_reg_r01",30,3,3,"RE-gaussian",1,-21.6160783557234,1,7,21.2574801445007,"ok"
"n030_d3_f3_reg_r02",30,3,3,"RE-gaussian",2,-21.5506841254946,1,7,21.7894630432129,"ok"
"n030_d3_f3_reg_r03",30,3,3,"RE-gaussian",3,-21.555824208738,1,7,22.4987289905548,"ok"
"n030_d3_f3_reg_r04",30,3,3,"RE-gaussian",4,-21.5036196927586,1,7,22.3316488265991,"ok"
"n030_d3_f3_reg_r05",30,3,3,"RE-gaussian",5,-21.4522338102663,1,7,21.8487069606781,"ok"
"n030_d3_f3_reg_r06",30,3,3,"RE-gaussian",6,-21.6625727200916,1,8,23.6182308197021,"ok"
"n030_d3_f3_reg_r07",30,3,3,"RE-gaussian",7,-21.5700508956299,1,7,20.9897720813751,"ok"
"n030_d3_f3_reg_r08",30,3,3,"RE-gaussian",8,-21.5997839705478,1,7,20.6967029571533,"ok"
"n030_d3_f3_reg_r09",30,3,3,"RE-gaussian",9,-21.5281392369028,1,7,20.664577960968,"ok"
"n030_d3_f3_reg_r10",30,3,3,"RE-gaussian",10,-21.7335412309734,1,7,20.5848860740662,"ok"
